ts_code,name,exchange,申万一级,申万二级,营收同比_2025A,净利润同比_2025A,净利润_2025A,营收同比_2026Q1,净利润同比_2026Q1,净利润_2026Q1,min_yoy,trade_date,final_rating,pm_summary,pm_price_target,pm_time_horizon,trader_action,trader_entry,trader_stop,trader_sizing,rm_recommendation,final_rating_opus,pm_summary_opus,pm_price_target_opus,pm_time_horizon_opus,trader_action_opus,rm_recommendation_opus,md_path,opus_md_path
001258.SZ,立新能源,SZSE,公用事业,电力,9.1943418606,69.54,85078526.21,22.1974076286,167.71,6340275.73,9.1943418606,,,,,,,,,,,,,,,,,,
600236.SH,桂冠电力,SSE,公用事业,电力,8.2780514347,43.63,3279598444.12,36.9639593586,58.12,859164531.66,8.2780514347,,,,,,,,,,,,,,,,,,
600098.SH,广州发展,SSE,公用事业,电力,5.2861565318,33.93,2319437070.79,7.7818455577,18.37,535458525.93,5.2861565318,,,,,,,,,,,,,,,,,,
000899.SZ,赣能股份,SZSE,公用事业,电力,6.8957469298,40.97,1006611278.98,52.4374031716,4.69,202030880.13,4.69,,,,,,,,,,,,,,,,,,
000690.SZ,宝新能源,SZSE,公用事业,电力,9.2346132669,45.21,1024495080.91,5.9774906361,3.43,309751665.38,3.43,,,,,,,,,,,,,,,,,,
600226.SH,亨通股份,SSE,公用事业,电力,38.6046122685,6.05,200920200.41,82.2067437227,2.45,71816771.77,2.45,,,,,,,,,,,,,,,,,,
600025.SH,华能水电,SSE,公用事业,电力,6.8875127778,2.5,8504138221.82,7.0204692058,2.32,1543259523.33,2.32,,,,,,,,,,,,,,,,,,
600900.SH,长江电力,SSE,公用事业,电力,2.0712876209,6.17,34502809176.39,6.4427781703,30.5,6761006898.48,2.0712876209,,,,,,,,,,,,,,,,,,
000791.SZ,甘肃能源,SZSE,公用事业,电力,4.2554124546,24.77,2051455116.11,6.9430506605,1.57,487162437.3,1.57,,,,,,,,,,,,,,,,,,
000722.SZ,湖南发展,SZSE,公用事业,电力,3.6747963875,6.39,72137817.29,0.8193184075,208.25,13085904.61,0.8193184075,,,,,,,,,,,,,,,,,,
001210.SZ,金房能源,SZSE,公用事业,电力,11.8143726489,176.06,134413221.62,0.5379219609,2.09,132700374.22,0.5379219609,,,,,,,,,,,,,,,,,,
600578.SH,京能电力,SSE,公用事业,电力,0.0055673475,101.77,3529539444.59,2.2135436391,1.5,1101328582.04,0.0055673475,,,,,,,,,,,,,,,,,,
600191.SH,华资实业,SSE,农林牧渔,农产品加工,22.0639699121,131.95,59020198.23,153.2813072719,89.71,20505740.11,22.0639699121,,,,,,,,,,,,,,,,,,
001313.SZ,粤海饲料,SZSE,农林牧渔,饲料,9.7690142044,120.84,17794861.28,64.1665060259,145.64,11258073.06,9.7690142044,,,,,,,,,,,,,,,,,,
002215.SZ,诺普信,SZSE,农林牧渔,种植业,9.3490265289,11.26,650416565.06,25.194549439,20.04,752553795.78,9.3490265289,,,,,,,,,,,,,,,,,,
002746.SZ,仙坛股份,SZSE,农林牧渔,养殖业,9.1039694933,17.89,243019633.3,18.3819811165,38.02,66283427.57,9.1039694933,,,,,,,,,,,,,,,,,,
002772.SZ,众兴菌业,SZSE,农林牧渔,种植业,8.4298018087,161.63,334963547.55,27.3644488376,237.55,162699178.39,8.4298018087,,,,,,,,,,,,,,,,,,
002299.SZ,圣农发展,SZSE,农林牧渔,养殖业,8.1187508122,90.55,1380058462.24,25.4647908284,71.41,252918131.12,8.1187508122,,,,,,,,,,,,,,,,,,
002286.SZ,保龄宝,SZSE,农林牧渔,农产品加工,14.542258377,35.5,150626576.28,9.2068538572,7.5,54133380.43,7.5,,,,,,,,,,,,,,,,,,
002901.SZ,大博医疗,SZSE,医药生物,医疗器械,21.7882200225,68.06,599631709.82,16.5645367674,42.16,146565626.19,16.5645367674,,,,,,,,,,,,,,,,,,
603259.SH,药明康德,SSE,医药生物,医疗服务,15.8371756558,102.65,19150582400.69,28.8068135055,26.68,4651517987.76,15.8371756558,,,,,,,,,,,,,,,,,,
600867.SH,通化东宝,SSE,医药生物,生物制品,46.6574066191,3005.6319851705,1219052875.25,14.758063707,16.15,126799456.8,14.758063707,,,,,,,,,,,,,,,,,,
600276.SH,恒瑞医药,SSE,医药生物,化学制药,13.024342517,21.69,7711054811.98,12.9753629793,21.78,2282268233.13,12.9753629793,,,,,,,,,,,,,,,,,,
603538.SH,美诺华,SSE,医药生物,化学制药,9.4887854337,53.02,102229352.57,22.1236069309,46.84,31162062.8,9.4887854337,,,,,,,,,,,,,,,,,,
002294.SZ,信立泰,SZSE,医药生物,化学制药,8.4847984793,8.3,651504743.99,15.6498549327,12.45,225272107.49,8.3,,,,,,,,,,,,,,,,,,
000423.SZ,东阿阿胶,SZSE,医药生物,中药Ⅱ,8.8320922135,11.66,1738741090.72,5.5198523471,7.14,454808577.52,5.5198523471,,,,,,,,,,,,,,,,,,
600285.SH,羚锐制药,SSE,医药生物,中药Ⅱ,10.0707464566,5.11,759503032.53,10.3177095071,13.61,246333622.73,5.11,,,,,,,,,,,,,,,,,,
600993.SH,马应龙,SSE,医药生物,中药Ⅱ,3.7173735155,10.11,581492372.69,4.4592838566,4.43,212586063.99,3.7173735155,,,,,,,,,,,,,,,,,,
603520.SH,司太立,SSE,医药生物,化学制药,4.065415916,120.83,10228416.88,3.6994363378,46.08,20953600.9,3.6994363378,,,,,,,,,,,,,,,,,,
002603.SZ,以岭药业,SZSE,医药生物,中药Ⅱ,20.2373207857,277.56,1286478662.67,3.4581457852,25.43,408848309.57,3.4581457852,,,,,,,,,,,,,,,,,,
002349.SZ,精华制药,SZSE,医药生物,中药Ⅱ,4.1273332422,3.12,219284778.83,4.4640139681,5.87,65872510.07,3.12,,,,,,,,,,,,,,,,,,
601607.SH,上海医药,SSE,医药生物,医药商业,3.0258446449,25.74,5724557508.41,6.3581919146,6.35,1417757054.07,3.0258446449,,,,,,,,,,,,,,,,,,
000538.SZ,云南白药,SZSE,医药生物,中药Ⅱ,2.8818464931,8.51,5153486838.91,7.0228067446,5.31,2037306990.13,2.8818464931,,,,,,,,,,,,,,,,,,
000534.SZ,万泽股份,SZSE,医药生物,生物制品,19.6165479025,2.22,197018496.61,7.3857916449,6.58,77468268.66,2.22,,,,,,,,,,,,,,,,,,
603351.SH,威尔药业,SSE,医药生物,化学制药,2.952268848,3.11,150968971.49,1.8810585555,2.86,37634039.87,1.8810585555,,,,,,,,,,,,,,,,,,
600196.SH,复星医药,SSE,医药生物,化学制药,1.4474250629,21.69,3370561562.61,6.930767594,13.87,870825581.84,1.4474250629,,,,,,,,,,,,,,,,,,
603590.SH,康辰药业,SSE,医药生物,生物制品,10.8706242607,293.13,165966936.53,1.3528140544,6.1,47213574.31,1.3528140544,,,,,,,,,,,,,,,,,,
603939.SH,益丰药房,SSE,医药生物,医药商业,1.5418839267,9.81,1678481865.01,1.264094977,11.14,499549828.27,1.264094977,,,,,,,,,,,,,,,,,,
603014.SH,威高血净,SSE,医药生物,医疗器械,4.5699597303,7.33,482296672.53,0.9234987049,5.29,118304254.26,0.9234987049,,,,,,,,,,,,,,,,,,
002287.SZ,奇正藏药,SZSE,医药生物,中药Ⅱ,3.3380512331,11.36,648425430.79,0.5551479202,25.77,95179057.87,0.5551479202,,,,,,,,,,,,,,,,,,
002107.SZ,沃华医药,SZSE,医药生物,中药Ⅱ,6.9598704521,162.93,95715292.65,0.5547937761,60.32,36648737.04,0.5547937761,,,,,,,,,,,,,,,,,,
603233.SH,大参林,SSE,医药生物,医药商业,3.7953677837,35.04,1235246214.9,0.2479062084,11.12,511142374.93,0.2479062084,,,,,,,,,,,,,,,,,,
600763.SH,通策医疗,SSE,医药生物,医疗服务,1.3683945133,0.19,501945804.29,1.4339700485,1.66,186874603.48,0.19,,,,,,,,,,,,,,,,,,
003010.SZ,若羽臣,SZSE,商贸零售,互联网电商,94.3494448093,84.03,194401347.96,73.3357350773,163.78,72333748.41,73.3357350773,,,,,,,,,,,,,,,,,,
600415.SH,小商品城,SSE,商贸零售,一般零售,26.623667523,36.76,4203546946.97,45.2913702029,23.29,990442694.24,23.29,,,,,,,,,,,,,,,,,,
002803.SZ,吉宏股份,SZSE,商贸零售,互联网电商,21.5644383777,52.16,276831969.6,22.1201640033,22.32,72362633.53,21.5644383777,2026-05-12,Underweight,采纳研究经理和交易员的减仓方案。在¥22.00–22.50区间减持30%-50%头寸，锁定前期61%涨幅的大部分利润；剩余仓位设置¥20.40硬止损（10日均线），跌破则全部离场；不新增买入，等待回调至¥19.50–20.00且Q2经营现金流回暖至¥5000万以上再重新评估。本次行动是风险管理性减仓，非全面清仓。,20.0,3-6个月 ---,Sell,22.25,20.4,Reduce 30-50% of current holdings; maintain a core position but size down significantly. FINAL TRANSACTION PROPOSAL: **SELL** ---,Underweight,,,,,,,analyses/吉宏股份_002803_2026-05-12.md,
601061.SH,中信金属,SSE,商贸零售,贸易Ⅱ,9.5652146924,20.16,2689439516.83,52.912754747,141.13,1376518975.45,9.5652146924,,,,,,,,,,,,,,,,,,
601086.SH,国芳集团,SSE,商贸零售,一般零售,5.7068268157,21.16,70280340.2,14.7271131425,174.14,41582696.63,5.7068268157,,,,,,,,,,,,,,,,,,
600693.SH,东百集团,SSE,商贸零售,一般零售,1.7134557416,5.23,45763062.06,2.7931272553,13.71,45016275.3,1.7134557416,,,,,,,,,,,,,,,,,,
603101.SH,汇嘉时代,SSE,商贸零售,一般零售,1.6895975317,31.76,76895830.94,4.5695660057,13.3,64431097.94,1.6895975317,,,,,,,,,,,,,,,,,,
605188.SH,国光连锁,SSE,商贸零售,一般零售,4.7952194915,486.22,15653064.88,1.1976258827,22.13,26561689.88,1.1976258827,,,,,,,,,,,,,,,,,,
600710.SH,苏美达,SSE,商贸零售,贸易Ⅱ,0.543643177,18.05,1355624122.88,20.763399679,5.58,310903103.26,0.543643177,,,,,,,,,,,,,,,,,,
603268.SH,松发股份,SSE,国防军工,航海装备Ⅱ,274.9537907926,1083.05,2654607744.11,199.068387957,330.29,1093463056.14,199.068387957,,,,,,,,,,,,,,,,,,
000519.SZ,中兵红箭,SZSE,国防军工,地面兵装Ⅱ,102.9673696288,112.74,41696043.16,181.264531442,142.36,54630031.74,102.9673696288,,,,,,,,,,,,,,,,,,
002414.SZ,高德红外,SZSE,国防军工,军工电子Ⅱ,72.499766239,253.45,686192530.33,83.0223888938,337.96,365901530.75,72.499766239,,,,,,,,,,,,,,,,,,
002297.SZ,博云新材,SZSE,国防军工,航空装备Ⅱ,27.7688860372,192.0,61853562.33,125.9401991631,13362.43,132307066.27,27.7688860372,,,,,,,,,,,,,,,,,,
002111.SZ,威海广泰,SZSE,国防军工,航空装备Ⅱ,15.0908419825,72.91,129029972.27,32.2489925694,84.28,77250558.98,15.0908419825,,,,,,,,,,,,,,,,,,
600150.SH,中国船舶,SSE,国防军工,航海装备Ⅱ,13.9685316459,86.0,7848378198.33,54.8968342488,251.64,4832277995.78,13.9685316459,,,,,,,,,,,,,,,,,,
002338.SZ,奥普光电,SZSE,国防军工,军工电子Ⅱ,7.265131187,21.24,80525311.18,36.4523460185,125.11,31096843.27,7.265131187,,,,,,,,,,,,,,,,,,
600685.SH,中船防务,SSE,国防军工,航海装备Ⅱ,5.8995886889,167.26,1008262651.35,56.1231833358,114.76,396156621.53,5.8995886889,,,,,,,,,,,,,,,,,,
002625.SZ,光启技术,SZSE,国防军工,航空装备Ⅱ,31.3241668223,5.37,686946947.27,40.2793166828,17.03,176152449.31,5.37,,,,,,,,,,,,,,,,,,
600184.SH,光电股份,SSE,国防军工,地面兵装Ⅱ,88.2019463276,124.7848504476,51080235.29,2.9922626816,17.03,1121631.95,2.9922626816,,,,,,,,,,,,,,,,,,
600316.SH,洪都航空,SSE,国防军工,航空装备Ⅱ,41.8325947737,1.33,39759841.3,73.4729535331,167.7501799671,5783308.64,1.33,,,,,,,,,,,,,,,,,,
002985.SZ,北摩高科,SZSE,国防军工,航空装备Ⅱ,70.6638898772,1138.28,200034978.0,0.8584723708,24.98,67234180.2,0.8584723708,,,,,,,,,,,,,,,,,,
600590.SH,泰豪科技,SSE,国防军工,军工电子Ⅱ,3.7985032949,106.1084732073,60537073.64,0.5452797621,42.02,49335703.32,0.5452797621,,,,,,,,,,,,,,,,,,
001218.SZ,丽臣实业,SZSE,基础化工,化学制品,36.5550640958,47.99,161484159.57,33.7145712308,179.06,77178912.89,33.7145712308,,,,,,,,,,,,,,,,,,
600989.SH,宝丰能源,SSE,基础化工,化学原料,45.6439786774,79.09,11350295509.65,22.8956954811,50.23,3660674643.2,22.8956954811,,,,,,,,,,,,,,,,,,
000893.SZ,亚钾国际,SZSE,基础化工,农化制品,50.0858255056,75.97,1672578453.76,22.7045296636,38.52,532507990.34,22.7045296636,,,,,,,,,,,,,,,,,,
605016.SH,百龙创园,SSE,基础化工,化学制品,19.7456666161,50.06,368550234.74,25.3153943,48.1,120585818.74,19.7456666161,,,,,,,,,,,,,,,,,,
600378.SH,昊华科技,SSE,基础化工,化学制品,19.494682542,37.07,1444467040.45,34.0232551129,66.73,308019296.06,19.494682542,,,,,,,,,,,,,,,,,,
002170.SZ,芭田股份,SZSE,基础化工,农化制品,52.6213469243,122.79,911522715.02,19.4203790135,60.26,273538995.95,19.4203790135,,,,,,,,,,,,,,,,,,
603276.SH,恒兴新材,SSE,基础化工,化学制品,18.9062178146,72.23,60028813.4,31.3767603854,101.22,25922506.71,18.9062178146,,,,,,,,,,,,,,,,,,
002588.SZ,史丹利,SZSE,基础化工,农化制品,19.6923632763,25.07,1033164388.09,19.2214965758,18.54,341612818.43,18.54,,,,,,,,,,,,,,,,,,
603938.SH,三孚股份,SSE,基础化工,化学原料,18.4886175755,25.9,80299009.38,30.9127932237,43.88,38851042.21,18.4886175755,,,,,,,,,,,,,,,,,,
002246.SZ,北化股份,SZSE,基础化工,化学制品,41.2623315306,1029.22,263023373.32,17.1807300769,145.09,72320174.85,17.1807300769,,,,,,,,,,,,,,,,,,
002545.SZ,东方铁塔,SZSE,基础化工,农化制品,16.2734221405,113.77,1206247307.03,48.5919315988,95.21,401864480.76,16.2734221405,,,,,,,,,,,,,,,,,,
601208.SH,东材科技,SSE,基础化工,塑料,15.908052823,57.68,285439807.93,27.2442176715,103.35,186832252.74,15.908052823,,,,,,,,,,,,,,,,,,
603379.SH,三美股份,SSE,基础化工,化学制品,44.8073907962,164.75,2061141136.65,15.3568125799,26.29,505821099.8,15.3568125799,,,,,,,,,,,,,,,,,,
603683.SH,晶华新材,SSE,基础化工,化学制品,15.1428356069,33.25,89324922.31,21.0917572601,36.03,25560580.99,15.1428356069,,,,,,,,,,,,,,,,,,
002407.SZ,多氟多,SZSE,基础化工,化学制品,14.365054409,168.97,212784849.4,53.2602408147,480.14,375528935.28,14.365054409,,,,,,,,,,,,,,,,,,
002838.SZ,道恩股份,SZSE,基础化工,塑料,14.2463951297,34.03,188903544.03,33.436333065,168.92,119089390.63,14.2463951297,,,,,,,,,,,,,,,,,,
002250.SZ,联化科技,SZSE,基础化工,农化制品,13.2684030516,250.93,361944291.44,29.9954398853,104.97,101902161.32,13.2684030516,,,,,,,,,,,,,,,,,,
605020.SH,永和股份,SSE,基础化工,化学制品,13.0383570798,123.46,561631730.64,16.3702033174,85.11,180278992.46,13.0383570798,,,,,,,,,,,,,,,,,,
000565.SZ,渝三峡A,SZSE,基础化工,化学制品,12.5491221461,85.5,8100358.35,25.9742230834,373.16,24841158.42,12.5491221461,,,,,,,,,,,,,,,,,,
603334.SH,丰倍生物,SSE,基础化工,化学制品,62.7704815709,13.52,140554623.92,66.5523603013,11.47,40879056.33,11.47,,,,,,,,,,,,,,,,,,
002497.SZ,雅化集团,SZSE,基础化工,化学制品,10.7248541507,145.95,632380161.87,84.1618046218,310.87,338821317.99,10.7248541507,,,,,,,,,,,,,,,,,,
603663.SH,三祥新材,SSE,基础化工,化学原料,10.5932476038,55.15,117550379.5,14.2619144341,173.08,36889130.14,10.5932476038,,,,,,,,,,,,,,,,,,
002768.SZ,国恩股份,SZSE,基础化工,塑料,10.5690892399,24.38,841288804.33,21.8633928154,131.08,256619640.41,10.5690892399,,,,,,,,,,,,,,,,,,
002942.SZ,新农股份,SZSE,基础化工,农化制品,15.1683376977,65.27,95406797.77,13.105556262,10.52,46109195.31,10.52,,,,,,,,,,,,,,,,,,
002886.SZ,沃特股份,SZSE,基础化工,塑料,8.1681157048,75.97,64397172.18,16.6889847481,112.81,13006598.86,8.1681157048,,,,,,,,,,,,,,,,,,
002669.SZ,康达新材,SZSE,基础化工,化学制品,68.873583946,150.96,125439848.43,31.7781405879,7.73,6864386.96,7.73,,,,,,,,,,,,,,,,,,
603255.SH,鼎际得,SSE,基础化工,化学制品,7.6550742551,194.14,11421195.87,53.0304218243,431.6583838135,11178362.95,7.6550742551,,,,,,,,,,,,,,,,,,
603928.SH,兴业股份,SSE,基础化工,塑料,7.4945159621,150.6,101538170.67,14.0956409274,144.41,31809608.93,7.4945159621,,,,,,,,,,,,,,,,,,
600389.SH,江山股份,SSE,基础化工,农化制品,7.0807460279,137.35,532600833.25,11.3741103476,17.46,182664566.45,7.0807460279,,,,,,,,,,,,,,,,,,
002734.SZ,利民股份,SZSE,基础化工,农化制品,6.8334480653,489.7,479763485.08,9.6498779673,22.23,132150741.13,6.8334480653,,,,,,,,,,,,,,,,,,
002683.SZ,广东宏大,SZSE,基础化工,化学制品,49.2034857572,6.62,957184117.73,18.8466314192,10.66,103486709.51,6.62,,,,,,,,,,,,,,,,,,
001359.SZ,平安电工,SZSE,基础化工,塑料,12.5227034541,11.1,241631782.44,20.6063727346,5.51,55257416.05,5.51,,,,,,,,,,,,,,,,,,
600078.SH,澄星股份,SSE,基础化工,农化制品,7.1612587685,104.26,8472122.07,5.2958474429,176.79,27583358.27,5.2958474429,,,,,,,,,,,,,,,,,,
003017.SZ,大洋生物,SZSE,基础化工,化学原料,14.889061859,56.64,99854406.02,11.7114208531,5.21,30870752.17,5.21,,,,,,,,,,,,,,,,,,
002562.SZ,兄弟科技,SZSE,基础化工,化学制品,4.9507623402,133.02,95105486.25,7.4000995826,68.47,35224677.34,4.9507623402,,,,,,,,,,,,,,,,,,
603650.SH,彤程新材,SSE,基础化工,橡胶,4.8476366686,8.86,562549729.93,22.5131803874,13.83,182301581.09,4.8476366686,,,,,,,,,,,,,,,,,,
002391.SZ,长青股份,SZSE,基础化工,农化制品,4.5760676205,133.8,40538811.3,8.3459806547,84.1,30726185.48,4.5760676205,,,,,,,,,,,,,,,,,,
600160.SH,巨化股份,SSE,基础化工,化学制品,10.3348961081,94.29,3783228877.44,3.747931522,45.93,1173009944.11,3.747931522,,,,,,,,,,,,,,,,,,
603067.SH,振华股份,SSE,基础化工,化学原料,11.5293062052,39.37,659036244.18,17.1283362461,3.61,121617475.49,3.61,,,,,,,,,,,,,,,,,,
603739.SH,蔚蓝生物,SSE,基础化工,化学制品,3.4345816366,11.45,69809673.62,11.2354745591,86.57,17867737.01,3.4345816366,,,,,,,,,,,,,,,,,,
603172.SH,万丰股份,SSE,基础化工,化学制品,3.1804273047,25.91,48258826.66,37.730059961,34.64,13953446.0,3.1804273047,,,,,,,,,,,,,,,,,,
603181.SH,皇马科技,SSE,基础化工,化学制品,3.0611293776,9.76,436605190.72,8.883335242,10.47,112420033.13,3.0611293776,,,,,,,,,,,,,,,,,,
605033.SH,美邦股份,SSE,基础化工,农化制品,2.9838147701,32.03,48664656.72,16.2143191508,18.92,35620121.96,2.9838147701,,,,,,,,,,,,,,,,,,
002430.SZ,杭氧股份,SZSE,基础化工,化学制品,9.9591721999,2.87,948853670.52,12.1117423599,17.26,265106079.33,2.87,,,,,,,,,,,,,,,,,,
002539.SZ,云图控股,SZSE,基础化工,农化制品,5.0065393194,2.81,827079355.89,6.8296959461,19.62,303557057.35,2.81,,,,,,,,,,,,,,,,,,
601678.SH,滨化股份,SSE,基础化工,化学原料,45.0562369139,2.75,225280998.04,3.7035928786,52.55,146443573.2,2.75,,,,,,,,,,,,,,,,,,
000792.SZ,盐湖股份,SZSE,基础化工,农化制品,2.4258053542,81.76,8475535262.69,94.8919768094,154.78,3026668895.57,2.4258053542,,,,,,,,,,,,,,,,,,
001369.SZ,双欣材料,SZSE,基础化工,化学纤维,2.8284278673,2.84,536187731.54,12.0704621446,2.03,127761153.7,2.03,,,,,,,,,,,,,,,,,,
001325.SZ,元创股份,SZSE,基础化工,橡胶,6.115145548,2.03,157796272.42,10.4346120266,1.27,25574072.4,1.27,,,,,,,,,,,,,,,,,,
001231.SZ,农心科技,SZSE,基础化工,农化制品,18.5733883719,11.2,66633350.64,1.1874025363,5.13,19326591.19,1.1874025363,,,,,,,,,,,,,,,,,,
002748.SZ,世龙实业,SZSE,基础化工,化学原料,0.994224319,120.12,57606199.99,7.4357145402,59.22,38489994.09,0.994224319,,,,,,,,,,,,,,,,,,
